"disp","delta","peak.resistant","peak.susceptible","peak.wasps","trough.resistant","trough.susceptible","trough.wasps","prop.delta","converge","peak.prop","trough.prop","eig"
0.13,0.173773943450445,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.116887569771077,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.22313016014843,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.145263985512229,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.28650479686019,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.1791319063871,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.367879441171442,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.218874043989047,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.472366552741015,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.264591307470067,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.606530659712633,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.315994750891608,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.778800783071405,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.372328598607009,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,1,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.43235726376961,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,1.28402541668774,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.494440231815723,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,1.64872127070013,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.556695127760492,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,2.11700001661267,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.617218794569715,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,2.71828182845905,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.674313529988981,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,3.49034295746184,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.726663527449754,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,4.48168907033806,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.773426283289997,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,5.75460267600573,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.814234005113876,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,7.38905609893065,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.849125676752126,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,9.48773583635853,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.87844217532801,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,12.1824939607035,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.902714818787192,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,15.6426318841882,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.922567932601973,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,20.0855369231877,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.938644961534659,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,25.7903399171931,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.951559224987311,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,33.1154519586923,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.961865674848262,TRUE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,42.5210820000628,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.970048306704796,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,54.5981500331442,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.976518022873252,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,70.1054123466879,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.981616731545409,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,90.0171313005218,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.985624640680092,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,115.584284527188,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.98876874555716,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,148.413159102577,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.991231305786152,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.14,0.00673794699908547,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.00511342151187874,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.00865169520312063,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.00655624128503654,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0111089965382423,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.00840273338900545,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0142642339089993,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0107636348594062,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0183156388887342,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0137786573698684,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0235177458560091,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0176231781586211,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0301973834223185,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0225159068710509,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.038774207831722,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0287272831458807,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0497870683678639,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.03658802978451,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0639278612067076,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0464967690022944,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.0820849986238988,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0589248559773797,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.105399224561864,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0744155819045678,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.135335283236613,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.0935737319628807,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.173773943450445,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.117040429437851,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.22313016014843,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.145447842563837,FALSE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.28650479686019,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.179349634684244,TRUE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.367879441171442,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.219127182562424,TRUE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.472366552741015,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.264879390669614,TRUE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.606530659712633,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.316314728695485,TRUE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
0.14,0.778800783071405,1798.84785715094,2358.21828009685,4.5124176854773,1798.84785715094,2358.21828009685,4.51241768547728,0.372674540430351,TRUE,0.432720528796273,0.432720528796272,0.986086004633657+0.054129290368065i
