Field,Date,Initials,Cycle,DISS_Initials,DISS_G_Unpara,DISS_G_Para,DISS_G_fungus,DISS_G_p+f,DISS_R_Unpara,DISS_R_Para,DISS_R_Fungus,DISS_R_p+f
744,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/15/17,PU,2,SD,60,17,1,0,17,2,0,0
246,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/15/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/15/17,PU,2,PU,54,14,0,0,23,6,0,0
310,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/15/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/15/17,PU,2,SV,62,7,0,0,28,2,0,0
349,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/15/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/15/17,PU,2,SV,60,7,1,0,28,2,0,0
593,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/15/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/15/17,PU,2,PU,46,23,0,0,22,7,0,0
744,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/15/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/15/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/15/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/19/17,PU,2,IC,53,10,1,0,25,6,3,0
246,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/19/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/19/17,PU,2,IC,57,7,0,0,32,2,1,0
310,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/19/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/19/17,PU,2,PU,56,4,1,1,25,2,1,0
349,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/19/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/19/17,PU,2,PU,56,7,2,0,26,4,0,0
744,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/19/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/19/17,SV,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/19/17,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349 Clover,6/26/17,SV,1,SD,8,9,1,0,5,2,0,0
349 Clover,6/26/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349 Clover,6/26/17,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349 Clover,6/26/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349 Clover,6/26/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349 Clover,6/26/17,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/26/17,IC,1,PU,18,48,7,2,5,14,0,0
135,6/26/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/26/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/26/17,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/26/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/26/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506N,6/26/17,SV,1,SD,20,54,5,1,3,16,0,0
506N,6/26/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506N,6/26/17,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506N,6/26/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506N,6/26/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506N,6/26/17,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/29/17,PU,1,SD,16,61,2,0,3,15,0,0
135,6/29/17,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6/29/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
