treatment,rep,start_date,red_line,green_line,cage,date,observer,plant1_red,plant2_red,plant3_red,plant4_red,plant5_red,plant6_red,plant7_red,plant8_red,plant9_red,plant10_red,plant11_red,plant12_red,plant13_red,plant14_red,plant15_red,plant16_red,plant1_green,plant2_green,plant3_green,plant4_green,plant5_green,plant6_green,plant7_green,plant8_green,plant9_green,plant10_green,plant11_green,plant12_green,plant13_green,plant14_green,plant15_green,plant16_green,wasps,mummies,alates_total_red,alates_total_green,alates_in_red,alates_in_green,replaced_plants,wasps_rm,mumm_rm,notes
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/19/2021,CES,20,96,140,3,125,12,31,34,111,12,3,12,109,110,80,125,0,3,37,2,16,0,0,0,6,0,1,3,2,10,7,33,1,1,1,0,3,0,12,1,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/12/2021,CES,41,0,0,32,40,22,0,88,37,32,21,100,96,2,12,175,4,0,0,0,5,8,0,3,0,0,0,12,9,0,0,43,0,0,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/16/2021,LAN,1,13,18,112,250,133,21,160,137,1,1,27,145,4,0,330,0,0,0,7,7,4,4,1,0,1,1,2,2,0,0,41,0,0,10,0,5,0,"1,10,11,14,15",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/19/2021,CES,310,7,33,120,11,190,115,210,375,16,21,61,340,360,2,335,2,0,0,6,2,5,2,8,1,0,0,2,6,20,0,62,0,0,4,0,2,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/12/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/16/2021,LAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/19/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/12/2021,CES,0,135,93,18,85,225,170,0,37,0,76,12,13,144,160,380,0,8,3,0,0,42,13,0,4,0,3,0,4,22,7,5,0,0,,,,,"1,8,13",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/16/2021,LAN,30,320,410,160,300,6,22,175,250,70,80,30,250,370,8,18,1,4,5,0,4,0,5,1,6,3,0,1,3,10,1,3,0,0,,,,,"6,12,15,16",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/19/2021,CES,110,285,310,240,305,52,13,445,145,73,120,360,430,260,86,355,0,3,5,2,6,0,0,0,11,0,2,2,4,8,3,6,0,0,,,,,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/12/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,,1,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/16/2021,LAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,1,1,2,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/19/2021,CES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,,1,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/12/2021,CES,160,255,360,27,31,105,205,405,140,22,37,380,31,420,77,145,2,23,10,4,7,18,32,90,4,0,6,11,0,53,2,28,0,0,5,1,3,0,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/16/2021,LAN,9,80,30,2,9,265,35,85,390,430,4,57,13,17,5,175,2,4,5,0,0,21,5,3,6,11,0,3,0,2,0,22,1,0,9,1,4,0,"1,4,5,7,11,13,15",1,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/19/2021,CES,36,3,8,28,48,75,54,17,18,230,8,0,40,1,230,56,13,0,2,1,0,33,6,3,0,22,0,0,2,0,19,50,0,0,3,0,1,0,"2,3,8,12,14",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/23/2021,CES,0,0,1,3,1,0,2,0,7,0,2,0,1,2,2,0,2,0,84,92,8,0,5,0,42,27,90,0,9,43,5,0,1,0,1,0,9,1,"2,6,12,16",1,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/23/2021,CES,520,175,3,385,7,170,260,27,2,87,45,26,400,53,7,270,7,5,0,11,0,4,6,0,0,9,6,0,48,0,1,32,0,0,16,3,8,2,"3,5,8,9,14,15",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/23/2021,CES,42,36,150,120,140,1,85,180,20,0,210,180,2,130,9,220,7,0,25,32,38,0,11,0,0,0,13,7,0,21,0,42,0,0,0,0,1,0,"6,9,10,13,15",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/23/2021,CES,490,120,175,240,95,195,390,110,33,420,180,13,28,410,45,7,16,0,4,7,4,10,27,9,0,16,5,0,1,31,12,9,0,0,2,0,1,0,"05,12,13,16",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/23/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/23/2021,CES,485,97,44,57,80,275,0,12,8,0,4,190,66,270,405,220,3,4,0,2,7,7,0,6,2,0,0,2,3,15,12,20,0,0,,,,,"4,5,7,8,9,10,11,13",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/23/2021,CES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/23/2021,CES,405,52,4,215,195,0,390,75,2,55,81,245,150,53,260,3,33,14,0,2,4,0,24,4,0,40,23,22,17,2,62,2,0,0,2,0,1,0,"6,9,16",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,08/23/2021,CES,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,08/23/2021,CES,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/26/2021,KVB,0,0,0,0,0,0,5,0,14,1,0,0,5,2,0,0,7,4,189,45,27,0,3,0,1,4,0,0,11,70,0,0,1,2,0,0,5,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/26/2021,KVB,563,1,100,238,84,311,52,399,58,37,160,215,371,81,17,24,14,3,10,4,6,9,1,12,10,10,6,14,16,4,7,5,0,0,10,1,0,0,"2,4,7,16",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/26/2021,KVB,23,0,43,131,14,67,58,226,91,20,26,97,54,103,41,51,9,0,12,5,5,5,6,5,2,0,3,12,3,6,5,26,0,0,8,0,4,0,"1,2,5,7,14,16",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/26/2021,KVB,238,180,289,97,92,9,368,39,23,151,6,133,219,26,56,253,11,8,5,4,9,3,6,2,11,5,3,5,8,8,5,6,0,0,9,0,4,0,"6,8,9,11,14",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/26/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/26/2021,KVB,64,13,15,36,157,10,8,114,117,154,484,7,58,7,42,9,7,2,7,0,4,1,3,1,5,7,2,4,2,1,5,3,0,0,,,,,"1,2,3,6,12,14,15,16",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/26/2021,KVB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/26/2021,KVB,84,100,73,57,139,21,278,163,39,7,119,164,229,63,4,343,4,0,1,2,4,2,3,5,3,3,20,5,8,3,0,5,0,0,6,2,0,0,"1,4,10,15",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,08/26/2021,KVB,0,14,5,11,0,21,38,18,1,0,0,1,1,0,6,0,0,3,2,1,0,2,0,6,1,0,1,4,1,0,1,1,0,0,0,0,0,0,,,,
